DATE,HOUR,UTC,TMP,DPT,WDR,WSP,WGS,PPO,PCO,P06,TP2,TC2,POZ,POS,TYP,CLD,CIG,CCG,VIS,CVS,OBV
1/14/2013,0100, 02, 49, 47, 15, 01, NG,  1,  N,   ,   ,   ,  1,  2,  R, OV,  3,  3,  3,  3, BR
1/15/2013,0100, 02, 48, 28, 34, 10, NG,  7,  N,   ,   ,   ,  0,  0,  R, OV,  6,  6,  7,  7,  N
1/16/2013,0100, 02, 38, 26, 02, 04, NG, 11,  N,   ,   ,   ,  2, 32,  R, OV,  6,  6,  7,  7,  N
1/17/2013,0100, 02, 36, 33, 25, 10, NG,  0,  N,   ,   ,   ,  3, 13,  R, OV,  3,  3,  7,  7,  N
1/18/2013,0100, 02, 40, 25, 34, 05, NG,  6,  N,   ,   ,   ,  0, 54,  S, OV,  6,  6,  7,  7,  N
1/19/2013,0100, 02, 27, 10, 21, 07, NG,  1,  N,   ,   ,   ,  3, 89,  S, FW,  8,  7,  7,  7,  N
1/20/2013,0100, 02, 46, 28, 21, 10, 18,  0,  N,   ,   ,   ,  0,  0,  R, BK,  8,  7,  7,  7,  N
1/21/2013,0100, 02, 37, 11, 31, 14, 21,  0,  N,   ,   ,   ,  0, 68,  S, FW,  8,  7,  7,  7,  N
1/22/2013,0100, 02, 31, 15, 32, 07, NG,  7,  N,   ,   ,   ,  3, 89,  S, OV,  6,  6,  7,  7,  N
1/23/2013,0100, 02, 16, -6, 29, 18, 25,  1,  N,   ,   ,   ,  1, 84,  S, FW,  8,  6,  7,  7,  N
1/24/2013,0100, 02, 15, -1, 31, 06, NG,  2,  N,   ,   ,   ,  1, 82,  S, FW,  8,  7,  7,  7,  N
1/25/2013,0100, 02, 18, -3, 30, 18, 25,  0,  N,   ,   ,   ,  1, 84,  S, CL,  8,  8,  7,  7,  N
1/26/2013,0100, 02, 19, 15, 25, 07, NG, 80,  Y,   ,   ,   ,  0,100,  S, OV,  4,  4,  4,  4, BR
1/27/2013,0100, 02, 22,  5, 32, 12, NG,  1,  N,   ,   ,   ,  2, 85,  S, FW,  8,  8,  7,  7,  N
1/28/2013,0100, 02, 31, 10, 29, 02, NG,  0,  N,   ,   ,   ,  3, 85,  S, BK,  8,  7,  7,  7,  N
1/29/2013,0100, 02, 35, 33, 24, 06, NG, 46,  Y,   ,   ,   ,  5, 24,  R, OV,  3,  3,  5,  5, BR
1/30/2013,0100, 02, 43, 41, 14, 05, NG, 41,  N,   ,   ,   ,  1,  2,  R, OV,  5,  5,  5,  5, BR
1/31/2013,0100, 02, 53, 51, 12, 05, NG, 85,  Y,   ,   ,   ,  0,  0,  R, OV,  5,  5,  7,  6,  N
1/01/2013,0200, 03, 37, 22, 24, 12, NG, 12,  N,   ,   ,   ,  0, 55,  S, OV,  6,  6,  7,  7,  N
1/02/2013,0200, 03, 30, 14, 32, 12, NG,  1,  N,   ,   ,   ,  2, 83,  S, SC,  8,  6,  7,  7,  N
1/03/2013,0200, 03, 29, 14, 29, 08, 14,  1,  N,   ,   ,   ,  2, 87,  S, BK,  8,  6,  7,  7,  N
1/04/2013,0200, 03, 31, 16, 25, 10, NG,  0,  N,   ,   ,   ,  3, 89,  S, BK,  7,  6,  7,  7,  N
1/05/2013,0200, 03, 34, 20, 26, 11, NG,  0,  N,   ,   ,   ,  0, 72,  S, CL,  8,  8,  7,  7,  N
1/06/2013,0200, 03, 33, 22, 24, 05, NG,  0,  N,   ,   ,   ,  1, 76,  S, SC,  8,  6,  7,  7,  N
1/07/2013,0200, 03, 42, 26, 27, 08, NG,  2,  N,   ,   ,   ,  0, 41,  R, OV,  7,  7,  7,  7,  N
1/08/2013,0200, 03, 38, 22, 23, 02, NG,  0,  N,   ,   ,   ,  2, 52,  S, CL,  8,  8,  7,  7,  N
1/09/2013,0200, 03, 39, 30, 23, 05, NG,  0,  N,   ,   ,   ,  0, 17,  R, BK,  8,  7,  7,  7,  N
1/10/2013,0200, 03, 44, 35, 25, 12, NG,  0,  N,   ,   ,   ,  1,  1,  R, CL,  8,  8,  7,  7,  N
1/11/2013,0200, 03, 42, 23, 36, 05, NG,  0,  N,   ,   ,   ,  4, 10,  R, BK,  8,  6,  7,  7,  N
1/12/2013,0200, 03, 44, 43, 06, 06, NG, 66,  Y,   ,   ,   ,  1,  2,  R, OV,  3,  3,  3,  3, BR
1/13/2013,0200, 03, 46, 44, 20, 01, NG,  1,  N,   ,   ,   ,  1,  3,  R, OV,  3,  3,  5,  5, BR
1/14/2013,0200, 03, 48, 47, 16, 04, NG, 34,  N,   ,   ,   ,  0,  0,  R, OV,  2,  2,  2,  2, FG
1/15/2013,0200, 03, 47, 27, 35, 11, NG, 30,  N,   ,   ,   ,  0,  0,  R, OV,  6,  6,  7,  7,  N
1/16/2013,0200, 03, 38, 25, 02, 06, NG, 13,  N,   ,   ,   ,  3, 34,  R, OV,  6,  6,  7,  7,  N
1/17/2013,0200, 03, 37, 33, 26, 10, NG,  0,  N,   ,   ,   ,  3, 15,  R, OV,  4,  4,  7,  7,  N
1/18/2013,0200, 03, 38, 23, 36, 08, NG,  7,  N,   ,   ,   ,  0, 55,  S, OV,  6,  6,  7,  7,  N
1/19/2013,0200, 03, 29, 10, 20, 07, NG,  1,  N,   ,   ,   ,  3, 89,  S, FW,  8,  6,  7,  7,  N
1/20/2013,0200, 03, 44, 28, 21, 13, NG,  0,  N,   ,   ,   ,  0,  0,  R, SC,  8,  7,  7,  7,  N
1/21/2013,0200, 03, 35, 12, 32, 14, 22,  0,  N,   ,   ,   ,  0, 73,  S, FW,  8,  6,  7,  7,  N
1/22/2013,0200, 03, 29, 17, 33, 08, NG,  5,  N,   ,   ,   ,  2, 86,  S, OV,  6,  6,  7,  7,  N
1/23/2013,0200, 03, 15, -6, 29, 17, 25,  2,  N,   ,   ,   ,  2, 83,  S, FW,  8,  6,  7,  7,  N
1/24/2013,0200, 03, 15,  1, 31, 07, NG,  3,  N,   ,   ,   ,  1, 81,  S, FW,  8,  6,  7,  7,  N
1/25/2013,0200, 03, 17, -2, 30, 17, 25,  0,  N,   ,   ,   ,  2, 83,  S, CL,  8,  8,  7,  7,  N
1/26/2013,0200, 03, 20, 15, 27, 06, NG, 47,  Y,   ,   ,   ,  0,100,  S, OV,  6,  6,  7,  5,  N
1/27/2013,0200, 03, 22,  5, 32, 13, 20,  1,  N,   ,   ,   ,  2, 84,  S, CL,  8,  8,  7,  7,  N
1/28/2013,0200, 03, 30, 10, 28, 05, NG,  1,  N,   ,   ,   ,  3, 85,  S, SC,  8,  6,  7,  7,  N
1/29/2013,0200, 03, 35, 33, 25, 08, NG,  9,  N,   ,   ,   ,  6, 31,  R, OV,  3,  3,  5,  5, BR
1/30/2013,0200, 03, 44, 41, 14, 02, NG,  7,  N,   ,   ,   ,  2,  9,  R, OV,  4,  4,  5,  5, BR
1/31/2013,0200, 03, 53, 52, 18, 04, NG, 31,  N,   ,   ,   ,  1,  3,  R, OV,  4,  4,  7,  6,  N
1/01/2013,0300, 04, 38, 22, 24, 12, NG,  9,  N,   ,   ,   ,  0, 73,  S, OV,  6,  6,  7,  7,  N
1/02/2013,0300, 04, 29, 12, 33, 13, 19,  1,  N,   ,   ,   ,  0, 92,  S, BK,  8,  7,  7,  7,  N
1/03/2013,0300, 04, 29, 14, 28, 06, NG,  0,  N,   ,   ,   ,  1, 99,  S, BK,  8,  7,  7,  7,  N
1/04/2013,0300, 04, 31, 17, 24, 10, NG,  0,  N,   ,   ,   ,  1, 98,  S, BK,  7,  7,  7,  7,  N
1/05/2013,0300, 04, 34, 20, 26, 13, NG,  0,  N,   ,   ,   ,  0, 91,  S, CL,  8,  8,  7,  7,  N
1/06/2013,0300, 04, 32, 23, 23, 05, NG,  0,  N,   ,   ,   ,  0, 81,  S, BK,  8,  7,  7,  7,  N
1/07/2013,0300, 04, 41, 26, 28, 08, NG,  1,  N,   ,   ,   ,  0, 66,  S, OV,  7,  7,  7,  7,  N
1/08/2013,0300, 04, 36, 24, 24, 02, NG,  0,  N,   ,   ,   ,  3, 50,  S, CL,  8,  8,  7,  7,  N
1/09/2013,0300, 04, 37, 29, 24, 04, NG,  0,  N,   ,   ,   ,  2, 20,  R, BK,  8,  7,  7,  7,  N
1/10/2013,0300, 04, 43, 35, 25, 13, NG,  0,  N,   ,   ,   ,  1,  1,  R, CL,  8,  8,  7,  7,  N
1/11/2013,0300, 04, 40, 25, 02, 06, NG,  0,  N,   ,   ,   ,  6,  4,  R, BK,  8,  7,  7,  7,  N
